NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2022-07-02;2022-07-08;Si;;;2636.4727;1308.3446;992;16658.9731;7472;5159;23.5101;146;1;35;425;567;442;560;2515;1747;4;9
CATALUNYA;GLOBAL;2022-07-02;2022-07-08;No;485.896;0.874109;555.8751;242.6693;18884;900.1793;33143;36907;37.6927;1700;125;132;3804;15080;4007;11764;20425;21416;882;3381
CATALUNYA;GLOBAL;2022-07-01;2022-07-07;--;;;0.0000;0.0000;767;0.0000;2736;2592;13.0622;129;19;1;325;442;325;343;2605;2509;25;14
CATALUNYA;GLOBAL;2022-07-01;2022-07-07;Si;;;2556.0200;1295.1556;982;16335.8436;7132;5254;23.2379;133;3;34;398;584;382;584;2399;1758;5;10
CATALUNYA;GLOBAL;2022-07-01;2022-07-07;No;511.809;0.934467;547.7022;253.1810;19702;933.1151;34405;38208;37.6564;1728;126;117;3923;15779;4127;12246;21317;22163;863;3264
CATALUNYA;GLOBAL;2022-06-30;2022-07-06;No;559.357;0.999884;559.4219;264.7336;20601;959.2146;35197;39447;38.1960;1738;119;114;4002;16599;4208;12866;21828;22873;900;3304
CATALUNYA;GLOBAL;2022-06-30;2022-07-06;--;;;0.0000;0.0000;798;0.0000;2976;2518;13.1231;129;18;1;338;460;338;357;2855;2441;29;15
CATALUNYA;GLOBAL;2022-06-30;2022-07-06;Si;;;2540.1933;1304.3879;989;16778.9926;7308;5414;22.6232;129;3;34;398;591;385;593;2451;1872;3;12
CATALUNYA;GLOBAL;2022-06-29;2022-07-05;--;;;0.0000;0.0000;830;0.0000;3001;2647;13.0514;125;18;1;337;493;337;376;2888;2575;27;11
CATALUNYA;GLOBAL;2022-06-29;2022-07-05;Si;;;2503.2642;1300.4312;986;16449.2686;7014;5458;23.1727;130;4;33;389;597;382;604;2369;1886;4;9
CATALUNYA;GLOBAL;2022-06-29;2022-07-05;No;605.823;1.06542;568.6228;272.4439;21201;977.5394;35531;40539;38.4381;1739;122;114;4069;17132;4250;13262;22063;23496;922;3377
CATALUNYA;GLOBAL;2022-06-28;2022-07-04;No;634.18;1.10044;576.2946;282.9300;22017;1013.2253;36247;42600;38.5362;1747;131;106;4167;17850;4355;13841;22618;24600;918;3360
CATALUNYA;GLOBAL;2022-06-28;2022-07-04;--;;;0.0000;0.0000;842;0.0000;2946;2644;13.3395;129;17;1;349;493;349;372;2839;2566;23;13
CATALUNYA;GLOBAL;2022-06-28;2022-07-04;Si;;;2421.4927;1300.4312;986;16288.3633;7025;5325;23.1329;129;3;32;367;619;365;620;2363;1895;4;7
CATALUNYA;GLOBAL;2022-06-27;2022-07-03;--;;;0.0000;0.0000;826;0.0000;2988;2623;13.3272;125;15;1;335;491;337;384;2865;2545;25;11
CATALUNYA;GLOBAL;2022-06-27;2022-07-03;Si;;;2263.2252;1279.3289;970;16577.2015;7133;5436;21.9697;142;3;29;331;639;336;621;2461;1895;4;9
CATALUNYA;GLOBAL;2022-06-27;2022-07-03;No;658.356;1.1336;580.7666;297.9651;23187;1062.0445;37495;45151;38.6554;1747;127;98;4341;18846;4488;14699;23513;26123;941;3469
CATALUNYA;GLOBAL;2022-06-26;2022-07-02;--;;;0.0000;0.0000;829;0.0000;3012;2605;13.4317;124;15;1;346;483;349;379;2893;2527;25;11
CATALUNYA;GLOBAL;2022-06-26;2022-07-02;Si;;;2276.4141;1318.8958;1000;16623.3629;7144;5460;22.3921;141;3;29;338;662;337;644;2465;1916;4;9
CATALUNYA;GLOBAL;2022-06-26;2022-07-02;No;662.95;1.143;580.0084;306.3436;23839;1081.1661;38186;45948;38.7971;1792;139;99;4439;19400;4601;15035;24053;26559;955;3483
CATALUNYA;GLOBAL;2022-06-25;2022-07-01;No;669.497;1.16002;577.1427;313.2058;24373;1099.5552;38639;46926;38.9215;1786;140;99;4460;19913;4631;15435;24427;27128;970;3478
CATALUNYA;GLOBAL;2022-06-25;2022-07-01;--;;;0.0000;0.0000;818;0.0000;2902;2597;13.5875;118;14;1;339;479;342;378;2780;2519;28;11
CATALUNYA;GLOBAL;2022-06-25;2022-07-01;Si;;;2238.1662;1328.1280;1007;16804.0516;7163;5578;22.2222;150;4;26;340;667;342;646;2477;1969;4;10
CATALUNYA;GLOBAL;2022-06-24;2022-06-30;--;;;0.0000;0.0000;720;0.0000;2396;2342;13.7500;109;11;0;291;429;294;333;2291;2269;27;10
CATALUNYA;GLOBAL;2022-06-24;2022-06-30;Si;;;2230.2528;1260.8644;956;15052.5579;6517;4896;23.1631;158;2;26;324;632;326;604;2236;1779;2;10
CATALUNYA;GLOBAL;2022-06-24;2022-06-30;No;655.828;1.15211;569.2397;294.5211;22919;1006.7615;35242;43102;39.6184;1751;130;99;4187;18732;4342;14348;22343;24832;782;2930
CATALUNYA;GLOBAL;2022-06-23;2022-06-29;No;656.655;1.17408;559.2934;294.6882;22932;1010.8737;34912;43752;39.3961;1779;136;99;4184;18748;4320;14364;22232;25194;724;2597
CATALUNYA;GLOBAL;2022-06-23;2022-06-29;--;;;0.0000;0.0000;686;0.0000;2280;2332;13.3664;111;13;0;277;409;280;312;2172;2257;22;10
CATALUNYA;GLOBAL;2022-06-23;2022-06-29;Si;;;2161.6702;1235.8053;937;14828.3457;6191;5052;22.4545;163;3;28;307;630;315;598;2223;1843;5;10
CATALUNYA;GLOBAL;2022-06-22;2022-06-28;--;;;0.0000;0.0000;645;0.0000;2268;2227;13.1231;105;13;0;259;386;262;304;2162;2151;17;13
